Designator,Mid X,Mid Y,Rotation,Layer
C1,70.46,-123.075,0,top
C2,70.46,-120.86,0,top
C3,70.46,-118.645,0,top
C4,63.86,-119.935,90,top
C5,71.535,-111.01,-90,top
C6,69.46,-111.01,-90,top
C7,73.8,-103.2,-90,top
C8,75.95,-103.2,-90,top
C9,71.525,-80.25,90,top
C10,79.545,-118.275,90,top
C11,75.43,-88.63,-90,top
C12,79.545,-122.72,-90,top
C13,75.43,-85.5,90,top
C14,73.18,-90.57,-90,top
C15,93.5,-115.03,180,top
C16,100.271428,-115.03,180,top
C17,107.042856,-115.03,180,top
C18,113.814284,-115.03,180,top
C19,93.5,-104.98,0,top
C20,96.885714,-115.03,180,top
C21,103.657142,-115.03,180,top
C22,110.42857,-115.03,180,top
C23,117.2,-115.03,180,top
C24,96.885714,-104.98,0,top
C25,117.52,-85.47,180,top
C26,109.6,-85.47,0,top
C27,100.271428,-104.98,0,top
C28,103.657142,-104.98,0,top
C29,107.042856,-104.98,0,top
C30,110.42857,-104.98,0,top
C31,113.814284,-104.98,0,top
C32,117.2,-104.98,0,top
C33,76.675,-75.405,180,top
C34,76.675,-73.175,180,top
C35,69.6,-93.675,180,top
C36,65.91,-93.725,0,top
C37,65.91,-95.975,180,top
C38,65.91,-98.2,180,top
C39,65.91,-100.4,0,top
C40,65.91,-109.235,0,top
C41,65.91,-102.585,180,top
C42,65.91,-107.035,0,top
C43,65.91,-104.785,180,top
C44,75.35,-109.175,90,top
C45,69.55,-103.375,180,top
C46,69.55,-101.15,180,top
C47,80.875,-97.275,180,top
C48,80.5,-99.49,180,top
C49,106.365,-85.47,180,top
C50,114.275,-85.47,0,top
CONN2,64.95,-87.055,-90,top
D1,75,-120.5,90,top
ESD1,72.8625,-87.06,0,top
ESD2,88.03,-122.1225,-90,top
F1,76.545,-114.24,0,top
IC1,83.225,-120.5,-90,top
IC2,108,-90.388,90,top
IC3,115.9,-90.388,90,top
IC4,69.7,-96.9,90,top
IC5,70.31,-106.81,-90,top
IC6,77.09,-99.81,180,top
L1,70.51,-115.16,180,top
L2,77.025,-96.77,0,top
LED1,77.045,-94.075,0,top
LED3,74.84,-106.23,180,top
R1,63.86,-116.96,90,top
R2,65.685,-112.885,0,top
R3,65.685,-114.535,180,top
R4,77.88,-103.425,-90,top
R5,79.55,-102.11,90,top
R6,107.68,-72.55,180,top
R8,73.675,-74.905,-90,top
R9,73.25,-97.35,180,top
R10,73.25,-95.625,180,top
R11,77.425,-87.8,180,top
R12,77.425,-86.3,180,top
R13,71.5375,-90.565,-90,top
R14,71.5375,-83.55,90,top
R15,93.5,-118.08,180,top
R16,93.5,-116.555,180,top
R19,100.271428,-118.08,180,top
R20,100.271428,-116.555,180,top
R22,107.042856,-118.08,180,top
R23,107.042856,-116.555,180,top
R25,113.814284,-118.08,180,top
R26,113.814284,-116.555,180,top
R28,93.5,-101.93,0,top
R29,93.5,-103.455,0,top
R35,96.885714,-118.08,180,top
R36,103.657142,-118.08,180,top
R37,110.42857,-118.08,180,top
R38,117.2,-118.08,180,top
R39,96.885714,-101.93,0,top
R40,96.885714,-116.555,180,top
R41,103.657142,-116.555,180,top
R42,110.42857,-116.555,180,top
R43,117.2,-116.555,180,top
R44,96.885714,-103.455,0,top
R45,104.14,-92.833,90,top
R46,102.39,-92.833,-90,top
R48,100.271428,-101.93,0,top
R49,100.271428,-103.455,0,top
R51,103.657142,-101.93,0,top
R52,103.657142,-103.455,0,top
R54,107.042856,-101.93,0,top
R55,107.042856,-103.455,0,top
R57,110.42857,-101.93,0,top
R58,110.42857,-103.455,0,top
R60,113.814284,-101.93,0,top
R61,113.814284,-103.455,0,top
R63,117.2,-101.93,0,top
R64,117.2,-103.455,0,top
R65,66.51,-122.41,0,top
R66,66.51,-120.61,0,top
R67,74.075,-99.85,90,top
R68,73.675,-109.175,90,top
R69,72.5,-99.85,-90,top
R70,77,-109.175,-90,top
R71,81.45,-102.105,90,top
R72,73.25,-93.85,180,top
R73,65.685,-111.185,180,top
R74,80.325,-109.175,-90,top
R75,78.65,-109.175,-90,top
SW1,107.68,-77.22,-90,top
SW2,75.55,-80.45,-90,top
U1,66.51,-117.5075,90,top
